0,1,2,3
Lands,,,
Comments,Type Mark,Area,Count
Lands,,,
Comments,Type Mark,Area,Count
10,LC,380.5 m²,1
11,LC,789.9 m²,1
12,LC,372.3 m²,1
13,LC,509.8 m²,1
14,LC,370.5 m²,1
15,LC,454.3 m²,1
16,LC,369.8 m²,1
17,LC,369.9 m²,1
18,LC,369.1 m²,1
19,LC,426.8 m²,1
20,LC,369.1 m²,1
21,LC,426.8 m²,1
22,LC,379.4 m²,1
23,LC,426.8 m²,1
24,LC,392.9 m²,1
25,LC,426.8 m²,1
26,LC,398.4 m²,1
27,LC,426.8 m²,1
28,LC,377.0 m²,1
29,LC,426.8 m²,1
30,LC,342.3 m²,1
31,LC,426.8 m²,1
32,LC,430.3 m²,1
33,LC,426.8 m²,1
35,LC,426.8 m²,1
37,LC,426.8 m²,1
39,LC,428.7 m²,1
41,LC,467.1 m²,1
43,LC,420.0 m²,1
45,LC,420.0 m²,1
47,LC,420.0 m²,1
49,LC,420.0 m²,1
51,LC,394.1 m²,1
53,LC,342.3 m²,1
55,LC,388.7 m²,1
57,LC,413.0 m²,1
59,LC,419.3 m²,1
61,LC,426.2 m²,1
63,LC,427.8 m²,1
65,LC,415.7 m²,1
1,LA,702.4 m²,1
2,LA,654.9 m²,1
3,LA,683.2 m²,1
4,LA,392.4 m²,1
5,LA,635.8 m²,1
6,LA,491.7 m²,1
7,LA,542.8 m²,1
8,LA,557.8 m²,1
9,LA,561.5 m²,1
10,LA,591.5 m²,1
11,LA,740.3 m²,1
12,LA,608.4 m²,1
13,LA,953.6 m²,1
14,LA,609.8 m²,1
15,LA,1084.1 m²,1
16,LA,580.2 m²,1
17,LA,503.7 m²,1
18,LA,567.2 m²,1
19,LA,413.4 m²,1
20,LA,548.0 m²,1
21,LA,393.0 m²,1
22,LA,511.9 m²,1
23,LA,404.7 m²,1
24,LA,457.2 m²,1
25,LA,485.3 m²,1
26,LA,381.9 m²,1
27,LA,479.7 m²,1
28,LA,283.2 m²,1
29,LA,652.9 m²,1
30,LA,504.5 m²,1
31,LA,513.9 m²,1
32,LA,643.2 m²,1
33,LA,451.8 m²,1
34,LA,538.8 m²,1
35,LA,509.0 m²,1
36,LA,376.0 m²,1
37,LA,464.4 m²,1
38,LA,359.3 m²,1
39,LA,425.4 m²,1
40,LA,382.6 m²,1
41,LA,309.0 m²,1
42,LA,402.0 m²,1
43,LA,470.5 m²,1
44,LA,409.7 m²,1
45,LA,628.6 m²,1
46,LA,406.0 m²,1
47,LA,652.1 m²,1
48,LA,406.3 m²,1
49,LA,584.2 m²,1
50,LA,600.7 m²,1
51,LA,443.3 m²,1
52,LA,433.3 m²,1
53,LA,348.6 m²,1
54,LA,426.8 m²,1
55,LA,298.0 m²,1
56,LA,426.8 m²,1
57,LA,366.0 m²,1
58,LA,426.8 m²,1
59,LA,369.6 m²,1
60,LA,426.8 m²,1
61,LA,385.3 m²,1
62,LA,426.8 m²,1
63,LA,381.8 m²,1
64,LA,426.8 m²,1
65,LA,336.7 m²,1
66,LA,426.8 m²,1
67,LA,360.1 m²,1
68,LA,426.8 m²,1
69,LA,325.3 m²,1
70,LA,426.8 m²,1
71,LA,335.4 m²,1
72,LA,426.8 m²,1
73,LA,293.0 m²,1
74,LA,412.6 m²,1
75,LA,334.3 m²,1
76,LA,539.7 m²,1
77,LA,433.6 m²,1
78,LA,612.6 m²,1
79,LA,441.0 m²,1
80,LA,422.6 m²,1
81,LA,476.4 m²,1
82,LA,487.1 m²,1
83,LA,353.5 m²,1
84,LA,436.5 m²,1
85,LA,410.8 m²,1
86,LA,646.3 m²,1
87,LA,453.2 m²,1
88,LA,400.2 m²,1
89,LA,484.5 m²,1
91,LA,789.1 m²,1
93,LA,918.3 m²,1
95,LA,744.7 m²,1
97,LA,654.5 m²,1
,HOTEL,,
2200 M,,2,
1,LD,474.0 m²,1
2,LD,420.0 m²,1
3,LD,474.0 m²,1
4,LD,420.0 m²,1
6,LD,420.0 m²,1
8,LD,420.1 m²,1
10,LD,436.0 m²,1
12,LD,395.1 m²,1
14,LD,522.0 m²,1
1,LB,384.0 m²,1
2,LB,649.3 m²,1
3,LB,509.5 m²,1
4,LB,901.9 m²,1
5,LB,599.2 m²,1
6,LB,514.2 m²,1
7,LB,565.3 m²,1
8,LB,337.5 m²,1
9,LB,491.1 m²,1
10,LB,396.9 m²,1
11,LB,466.5 m²,1
12,LB,417.9 m²,1
13,LB,522.9 m²,1
14,LB,412.8 m²,1
15,LB,582.2 m²,1
16,LB,590.5 m²,1
17,LB,557.3 m²,1
19,LB,498.4 m²,1
21,LB,438.1 m²,1
23,LB,377.7 m²,1
25,LB,317.4 m²,1
Lands All,,,
Comments,Type Mark,Area,Count
View Point,FV-01,27.0 m²,1
View Point,FV-01,66.2 m²,1
View Point,FV-01,69.2 m²,1
View Point,FV-01,75.8 m²,1
View Point,FV-01,88.3 m²,1
View Point,FV-01,89.0 m²,1
Park,FR-01,426.8 m²,1
Park,FR-01,426.8 m²,1
Park,FR-01,983.6 m²,1
Park,FR-01,1057.0 m²,1
Camping,FC-01,1649.5 m²,1
Ice Stadium,FC-01,3930.8 m²,1
Parking+Tennis,FC-01,6058.8 m²,1
Restaurant,FC-01,7008.5 m²,1
Hotel,FC-01,8013.3 m²,1
1,LC,491.0 m²,1
2,LC,558.5 m²,1
3,LC,525.7 m²,1
4,LC,408.2 m²,1
5,LC,570.0 m²,1
6,LC,399.0 m²,1
7,LC,570.0 m²,1
8,LC,389.8 m²,1
9,LC,741.9 m²,1
,HOTEL,,
2200 M,,2,
