1,ინვესტიციის შეჯამება Creen Canyon Eco Village & Resort,Unnamed: 2,Unnamed: 3
2.0,ფაზა 1: განვითარების ხარჯები (CAPEX),,
3.0,მიწის შეძენის ღირებულება,,6000000
4.0,მშენებლობის საერთო ღირებულება,,28058625
5.0,ინვესტიციის საერთო ღირებულება,,34058625
,,,
1.0,ფაზა 2: გაყიდვები და მოგებაზე გასვლა,,
2.0,გაყიდვების მთლიანი შემოსავალი (აპარტამენტები + რეზიდენციები),,44331690
3.0,მინუს: მარკეტინგის და გაყიდვების ხარჯები (10%),,4433169
4.0,მინუს: კაპიტალური ხარჯები სუშთა მოგება,,"5,839,896"
5.0,საკუთრებაში აქტივების ღირებულება (კომერციული),,6000000
,,,
1.0,ფაზა 3: წლიური ოპერაციები (განმეორებადი),,
2.0,წლიური შემოსავალი გაქირავების მართვიდან,,857779.2
3.0,წლიური შემოსავალი კომერციული ოპერაციებიდან,,712500
4.0,წლიური წმინდა შემოსავალი,,1570279.2
,,,
,,,
1.0,ნაკვეთი ს/ნ,,85.19.23.326
2.0,სარეალიზაციო,,
3.0,ნაკვეთი 172 ცალი,მ2,81818
4.0,კომერციული,მ2,29970
5.0,გზები,მ2,21723
6.0,რეკრიაცია,მ2,16489
7.0,სრული ჯამი,მ2,150000
