Zone,Number,Full_ID,Area_sqm
LA,1,LA1,702.4
LA,2,LA2,654.9
LA,3,LA3,683.2
LA,4,LA4,392.4
LA,5,LA5,652.7
LA,6,LA6,491.7
LA,7,LA7,558.9
LA,8,LA8,557.8
LA,9,LA9,561.5
LA,10,LA10,591.5
LA,11,LA11,740.3
LA,12,LA12,608.4
LA,13,LA13,953.6
LA,14,LA14,609.8
LA,15,LA15,1084.1
LA,16,LA16,580.2
LA,17,LA17,503.7
LA,18,LA18,567.2
LA,19,LA19,413.4
LA,20,LA20,548.0
LA,21,LA21,393.0
LA,22,LA22,511.9
LA,23,LA23,404.7
LA,24,LA24,457.2
LA,25,LA25,485.3
LA,26,LA26,381.9
LA,27,LA27,479.7
LA,28,LA28,283.2
LA,29,LA29,652.9
LA,30,LA30,504.5
LA,31,LA31,513.9
LA,32,LA32,643.2
LA,33,LA33,451.8
LA,34,LA34,538.8
LA,35,LA35,509.0
LA,36,LA36,376.0
LA,37,LA37,464.4
LA,38,LA38,359.3
LA,39,LA39,425.4
LA,40,LA40,382.6
LA,41,LA41,309.0
LA,42,LA42,402.0
LA,43,LA43,470.5
LA,44,LA44,409.7
LA,45,LA45,628.6
LA,46,LA46,406.0
LA,47,LA47,652.1
LA,48,LA48,406.3
LA,49,LA49,584.2
LA,50,LA50,600.7
LA,51,LA51,443.3
LA,52,LA52,433.3
LA,53,LA53,348.6
LA,54,LA54,426.8
LA,55,LA55,298.0
LA,56,LA56,426.8
LA,57,LA57,366.0
LA,58,LA58,426.8
LA,59,LA59,369.6
LA,60,LA60,426.8
LA,61,LA61,385.3
LA,62,LA62,426.8
LA,63,LA63,381.8
LA,64,LA64,426.8
LA,65,LA65,336.7
LA,66,LA66,426.8
LA,67,LA67,360.1
LA,68,LA68,426.8
LA,69,LA69,325.3
LA,70,LA70,426.8
LA,71,LA71,335.4
LA,72,LA72,426.8
LA,73,LA73,293.0
LA,74,LA74,412.6
LA,75,LA75,334.3
LA,76,LA76,539.7
LA,77,LA77,433.6
LA,78,LA78,612.6
LA,79,LA79,441.0
LA,80,LA80,422.6
LA,81,LA81,476.4
LA,82,LA82,487.1
LA,83,LA83,353.5
LA,84,LA84,436.5
LA,85,LA85,626.5
LA,86,LA86,646.3
LA,87,LA87,721.9
LA,88,LA88,400.2
LA,89,LA89,789.1
LA,91,LA91,918.3
LA,93,LA93,744.7
LA,95,LA95,751.9
LB,1,LB1,384.0
LB,2,LB2,649.3
LB,3,LB3,509.5
LB,4,LB4,901.9
LB,5,LB5,599.2
LB,6,LB6,514.2
LB,7,LB7,565.3
LB,8,LB8,337.5
LB,9,LB9,491.1
LB,10,LB10,396.9
LB,11,LB11,466.5
LB,12,LB12,417.9
LB,13,LB13,522.9
LB,14,LB14,412.8
LB,15,LB15,582.2
LB,16,LB16,590.5
LB,17,LB17,557.3
LB,19,LB19,498.4
LB,21,LB21,438.1
LB,23,LB23,377.7
LB,25,LB25,317.4
LC,1,LC1,491.0
LC,2,LC2,558.5
LC,3,LC3,525.7
LC,4,LC4,408.2
LC,5,LC5,570.0
LC,6,LC6,399.0
LC,7,LC7,570.0
LC,8,LC8,389.8
LC,9,LC9,741.9
LC,10,LC10,380.5
LC,11,LC11,789.9
LC,12,LC12,372.3
LC,13,LC13,509.8
LC,14,LC14,370.5
LC,15,LC15,454.3
LC,16,LC16,369.8
LC,17,LC17,369.9
LC,18,LC18,369.1
LC,19,LC19,426.8
LC,20,LC20,369.1
LC,21,LC21,426.8
LC,22,LC22,379.4
LC,23,LC23,426.8
LC,24,LC24,392.9
LC,25,LC25,426.8
LC,26,LC26,398.4
LC,27,LC27,426.8
LC,28,LC28,377.0
LC,29,LC29,426.8
LC,30,LC30,342.3
LC,31,LC31,426.8
LC,32,LC32,430.3
LC,33,LC33,426.8
LC,35,LC35,426.8
LC,37,LC37,426.8
LC,39,LC39,428.7
LC,41,LC41,467.1
LC,43,LC43,420.0
LC,45,LC45,420.0
LC,47,LC47,420.0
LC,49,LC49,420.0
LC,51,LC51,394.1
LC,53,LC53,342.3
LC,55,LC55,388.7
LC,57,LC57,413.0
LC,59,LC59,419.3
LC,61,LC61,426.2
LC,63,LC63,427.8
LC,65,LC65,415.7
LD,1,LD1,474.0
LD,2,LD2,420.0
LD,3,LD3,474.0
LD,4,LD4,420.0
LD,6,LD6,420.0
LD,8,LD8,420.1
LD,10,LD10,436.0
LD,12,LD12,395.1
LD,14,LD14,522.0
